,0
0,Aarhus Universite
1,Abbottabad University of Science and Technolog
2,Abdul Wali Khan University Marda
3,Abdullah Gül Üniversites
4,Abdulrahman Al-Sumait Memorial Universit
5,Abertay Universit
6,Aberystwyth Universit
7,Abhilashi Universit
8,Abilene Christian Universit
9,Abourihan Higher Education Institut
10,Abra State Institute of Science and Technolog
11,Abraham Baldwin Agricultural Colleg
12,Abu Ali ibn Sino nomidagi Buxoro Davlat Tibbiyot Institut
13,Abu Dhabi Polytechni
14,Abu Dhabi Universit
15,Abubakar Tafawa Balewa Universit
16,Academia de Muzica Gheorghe Dim
17,"Academia de Muzica, Teatru si Arte Plastic"
18,Academia de Studii Economice din Moldov
19,Academia Nacional Superior de Orquestr
20,Academia Rerum Civiliu
21,Academic City University Colleg
22,Académie des Beaux-Arts de Tourna
23,Académie Franco-Américaine de Managemen
24,Academie voor Hoger Kunst- en Cultuuronderwij
25,Academy of Art Universit
26,Academy of Education of Kyrgyzsta
27,Academy of Public Administration under the aegis of the President of the Republic of Belaru
28,Academy of Public Administration under the President of Kazakhsta
29,Academy of Public Administration under the President of the Republic of Tajikista
30,Academy of the Ministry of Internal Affair
31,Acadia Universit
32,Ach Medical Universit
33,Acharya N.G. Ranga Agricultural Universit
34,"Achievers University, Ow"
35,Acibadem Üniversites
36,Ada Kent Üniversites
37,ADA Universitet
38,Adama Science and Technology Universit
39,Adamas Universit
40,Adams State Universit
41,Adana Alparslan Türkes Bilim ve Teknoloji Üniversites
42,Addis Ababa Science and Technology Universit
43,Addis Ababa Universit
44,Adeleke Universit
45,Adesh Universit
46,Adigrat Universit
47,Adi-Keih College of Arts and Social Science
48,Adiyaman Üniversites
49,Adler Graduate Schoo
50,Adler Universit
51,Admiral Makarov National University of Shipbuildin
52,Admiralty University of Nigeri
53,Adrian Colleg
54,Advanced Business Colleg
55,AdventHealth Universit
56,Adventist International Institute of Advanced Studie
57,Adventista Teológiai Fõiskol
58,Adyghe State Universit
59,Aeres Hogeschoo
60,Afe Babalola Universit
61,Afghan Swiss Medical Institute of Higher Educatio
62,Africa Christian Universit
63,Africa Renewal Universit
64,Africa Research Universit
65,African Bible Universit
66,"African Leadership University, Rwand"
67,African Methodist Episcopal Universit
68,African Rural Universit
69,African University College of Communication
70,African University of Managemen
71,African University of Science and Technolog
72,Afyon Kocatepe Üniversites
73,Aga Khan Universit
74,Agricultural University of Athen
75,Agricultural University of Hebe
76,Agricultural University of Icelan
77,Agricultural University of Plovdi
78,Agriculture and Forestry Universit
79,Agrocampus Oues
80,AgroParisTec
81,Ahlobait Institute of Higher Educatio
82,Ahmadu Bello Universit
83,Ahmedabad Universit
84,Ahmet Yesevi Üniversites
85,Ahram Canadian Universit
86,Ahsanullah University of Science and Technolog
87,Ahvaz Jundishapur University of Medical Science
88,Aichi Bunkyo Universit
89,Aichi Gakuin Universit
90,Aichi Gakusen Universit
91,Aichi Institute of Technolog
92,Aichi Medical Universit
93,Aichi Prefectural Universit
94,Aichi Prefectural University of Fine Arts and Musi
95,Aichi Sangyo Universit
96,Aichi Toho Universit
97,Aichi Universit
98,Aichi University of Educatio
99,Aichi University of Technolog
100,Aikoku Gakuen Universit
101,Ain Shams Universit
102,Aino Universit
103,Air Force Institute of Technolog
104,Air Universit
105,Aix-Marseille Universit
106,Ajeenkya D.Y. Patil Universit
107,Ajman Universit
108,Ajou Universit
109,AKAD Privathochschule
110,Akademia e Studimeve Albanologjik
111,Akademia Finansów i Biznesu Vistul
112,Akademia Górniczo-Hutnicz
113,Akademia Humanistyczno-Ekonomiczna w Lodz
114,Akademia Ivoden
115,Akademia Leona Kozminskieg
116,Akademia Muzyczna im. Feliksa Nowowiejskiego w Bydgoszcz
117,Akademia Muzyczna im. Grazyny i Kiejstuta Bacewiczów w Lodz
118,Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznani
119,Akademia Muzyczna im. Karola Lipinskiego we Wroclawi
120,Akademia Muzyczna im. Karola Szymanowskiego w Katowicac
121,Akademia Muzyczna im. Stanislawa Moniuszki w Gdansk
122,Akademia Muzyczna w Krakowi
123,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskie
124,Akademia Polonijna w Czestochowi
125,Akademia Pomorska w Slupsk
126,Akademia Sztuk Pieknych im. Eugeniusza Gepperta we Wroclawi
127,Akademia Sztuk Pieknych im. Jana Matejki w Krakowi
128,Akademia Sztuk Pieknych im. Wladyslawa Strzeminskiego w Lodz
129,Akademia Sztuk Pieknych w Gdansk
130,Akademia Sztuk Pieknych w Katowicac
131,Akademia Sztuk Pieknych w Warszawi
132,Akademia Sztuk Teatralnych im. Stanislawa Wyspianskiego w Krakowi
133,Akademia Techniczno-Humanistyczn
134,Akademia Wychowania Fizycznego i Sportu im. Jedrzeja Sniadeckieg
135,Akademia Wychowania Fizycznego im. Bronislawa Czecha w Krakowi
136,Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznani
137,Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawi
138,Akademia Wychowania Fizycznego we Wroclawi
139,Akademie der Bildenden Künste Münche
140,Akademie der Bildenden Künste Nürnber
141,Akademie der Bildenden Künste Wie
142,Akademie výtvarných umení v Praz
143,Akademii Sztuki w Szczecini
144,Akal Universit
145,AKCENT Colleg
146,Akdeniz Üniversites
147,Akita International Universit
148,Akita Prefectural Universit
149,Akita Universit
150,Akita University of Nursing and Welfar
151,Akobo Heritage and Memorial Universit
152,AKS Universit
153,Aksum Universit
154,Aktobe Regional State Universit
155,Al Ain Universit
156,Al Alamein International Universit
157,Al al-Bayt Universit
158,Al Azhar University-Gaz
159,Al Baha Universit
160,Al Fashir Universit
161,Al Ghurair Universit
